Numero de Referencia GPC|Alcance|Fuentes de gases de efecto invernadero|Claves de Anotación (IE NE NO C)|Gases de Efecto Invernadero (tCO2e) CO2|Gases de Efecto Invernadero (tCO2e) CH4|Gases de Efecto Invernadero (tCO2e)N2O|Gases de Efecto Invernadero (tCO2e) HFC|Gases de Efecto Invernadero (tCO2e) PFC|Gases de Efecto Invernadero (tCO2e) SF6|Gases de Efecto Invernadero (tCO2e) NF3|Gases de Efecto Invernadero (tCO2e) CO2e|Gases de Efecto Invernadero (tCO2e) CO2e(b)|Calidad de los Datos (H,M,L) AD|Calidad de los Datos (H,M,L)EF|Explicación
I||ENERGÍA|||||||||||||
I.1||Edificios residenciales|||||||||||||
I.1.1|1|Emisiones de consumo de combustible en los límites del municipio.||328626,61|44,21|1,631|||||330296,73|29416,36|H|M|
I.1.2|2|Emisiones de consumo de electricidad de la red eléctrica dentro de los límites del municipio||286349,91|6,06|1,78|||||286992,25||H|M|
I.1.3|3|Emisiones de pérdidas en la transmisión y distribución en la red eléctrica||48935,25|1,04|0,3|||||49045,02||M|M|
I.2||Edificios e instalaciones comerciales e institucionales|||||||||||||
I.2.1|1|Emisiones de consumo de combustible en los límites del municipio||36222,92|0,63|0,06|||||36257,42|0|H|M|
I.2.2|2|Emisiones de consumo de electricidad de la red eléctrica dentro de los límites del municipio||183811,8|3,89|1,14|||||184224,13|0|H|M|
I.2.3|3|Emisiones de pérdidas en la transmisión y distribución en la red eléctrica||31412,18|0,66|0,2|||||31482,65||M|M|
I.3||Industrias de fabricación y construcción|||||||||||||
I.3.1|1|Emisiones de consumo de combustible en los límites del municipio||257749,35|4,58|0,46|||||257999,12|0|L|M|
I.3.2|2|Emisiones de consumo de electricidad de la red eléctrica dentro de los límites del municipio||102350,44|2,17|0,64|||||102580,03||H|M|
I.3.3|3|Emisiones de pérdidas en la transmisión y distribución en la red eléctrica||17490,99|0,37|0,11|||||17530,23||M|M|
I.4||Industrias de energía|||||||||||||
I.4.1|1|Emisiones de consumo de electricidad y combustible en operaciones auxiliares de plantas de energía en los límites del municipio. (Autoconsumo de electricidad)|NE|0|0|0|||||0|0|||No se estima por no contar con aceso a datos de Industrias energéticas
I.4.2|2|Emisiones procedentes del consumo de la red eléctrica en las operaciones auxiliares de plantas de energía dentro de los límites del municipio||30046|0,64|0,19|||||30113,4||H|M|
I.4.3|3|Emisiones procedentes de las pérdidas de transmisión y distribución de consumo de energía del la red eléctrica en operaciones auxiliares de centrales eléctricas||5134,66|0,11|0,03|||||5146,17||M|M|
I.4.4|1|Emisiones procedentes de la generación de energía suministrada al la red eléctrica. Consumo de combustible.||3057,39|0,05|0,01|||||3060,36|0|H|M|
I.5||Actividades de agricultura, silvicultura y pesca|||||||||||||
I.5.1|1|Emisiones de la combustión de combustibles para generar energía en los límites del municipio||107815,87|7,06|6,34|||||109694,93|11957,67|H|M|
I.5.2|2|Consumo de electricidad de la red eléctrica dentro de los límites del municipio||2359,54|0,05|0,01|||||2364,84||H|M|
I.5.3|3|Emisiones de pérdidas en la transmisión y distribución en la red elécctrica||403,23|0,01|0|||||404,13||M|M|
I.6||Fuentes no especificadas|||||||||||||
I.6.1|1|Emisiones de consumo de combustible en los límites del municipio||49179,95|2,57|2,53|||||49923,44|0|H|M|
I.6.2|2|Emisiones de consumo de electricidad de la red eléctrica dentro de los límites del municipio|NE|0|0|0|||||0||||
I.6.3|3|Emisiones de pérdidas en la transmisión y distribución en la red elécctrica|NE|0|0|0|||||0||||
I.7||Emisiones fugitivas de la minería, procesamiento, almacenamiento y transporte de carbón|||||||||||||
I.7.1|1|Emisiones fugitivas que ocurren dentro del municipio|NO|0|0||||||0||||
I.8||Las emisiones fugitivas de los sistemas de petróleo y gas natural|||||||||||||
I.8.1|1|Emisiones fugitivas que ocurren dentro del municipio||24,98|490,25||||||13751,95||L|M|
II||TRANSPORTE|||||||||||||
II.1||Terrestre en carretera/ rodoviario|||||||||||||
II.1.1|1|Emisiones dentro de los límites del municipio por la quema de combustible||941692,1|399,21|85,74|||||975590,68|86694,7|H|M|
II.1.2|2|Emisiones de consumo de electricidad de la red eléctrica dentro de los límites del municipio en transporte terrestre||246,54|0,01|0|||||247,09||H|M|
